company,job,degree
google,sales executive,bachelors
google,sales executive,masters
google,business manager,bachelors
google,business manager,masters
google,computer programmer,bachelors
google,computer programmer,masters
abc pharma,sales executive,masters
abc pharma,computer programmer,bachelors
abc pharma,business manager,bachelors
abc pharma,business manager,masters
facebook,sales executive,bachelors
facebook,sales executive,masters
facebook,business manager,bachelors
facebook,business manager,masters
facebook,computer programmer,bachelors
facebook,computer programmer,masters
